Date,NAV (CAD),Market price (CAD)
May 25 2023,$100.5558,$100.5800
May 24 2023,$99.4207,$99.4400
May 23 2023,$99.4676,$99.5300
May 19 2023,$100.5559,$100.5800
May 18 2023,$100.6633,$100.6700
May 17 2023,$99.3011,$99.3100
May 16 2023,$98.3890,$98.4000
May 15 2023,$98.9340,$98.9300
May 12 2023,$99.2299,$99.2600
May 11 2023,$98.9204,$98.9500
May 10 2023,$98.2110,$98.2300
May 09 2023,$97.8350,$97.8400
May 08 2023,$98.1830,$98.2900
May 05 2023,$98.2208,$98.1600
May 04 2023,$97.5354,$97.5300
May 03 2023,$98.8850,$98.8700
May 02 2023,$99.5642,$99.5900
May 01 2023,$100.1459,$100.2100
Apr 28 2023,$100.2182,$100.2000
Apr 27 2023,$99.7060,$99.7100
Apr 26 2023,$98.1190,$98.2000
Apr 25 2023,$98.4998,$98.5200
Apr 24 2023,$99.3764,$99.3100
Apr 21 2023,$99.2385,$99.2400
Apr 20 2023,$98.7561,$98.7500
Apr 19 2023,$99.1405,$99.1500
Apr 18 2023,$98.6891,$98.7200
Apr 17 2023,$98.6108,$98.5700
Apr 14 2023,$98.0750,$98.1100
Apr 13 2023,$98.0527,$98.0500
Apr 12 2023,$97.5933,$97.5600
Apr 11 2023,$98.1696,$98.1600
Apr 10 2023,$98.4227,$98.3600
Apr 06 2023,$98.1596,$98.1200
Apr 05 2023,$97.6233,$97.6300
Apr 04 2023,$97.7625,$97.7600
Apr 03 2023,$98.1052,$98.1100
Mar 31 2023,$98.4101,$98.4400
Mar 30 2023,$97.1197,$97.1200
Mar 29 2023,$96.8473,$96.8100
Mar 28 2023,$95.7149,$95.7000
Mar 27 2023,$96.3065,$96.2300
Mar 24 2023,$96.6833,$96.6600
Mar 23 2023,$96.3010,$96.4000
Mar 22 2023,$96.1218,$96.1200
Mar 21 2023,$97.6925,$97.6200
Mar 20 2023,$96.0413,$96.0100
Mar 17 2023,$95.6944,$95.6900
Mar 16 2023,$96.6506,$96.6500
Mar 15 2023,$95.3127,$95.2700
Mar 14 2023,$95.2806,$95.2400
Mar 13 2023,$94.1324,$94.0900
Mar 10 2023,$94.9721,$95.0900
Mar 09 2023,$96.3781,$96.3600
Mar 08 2023,$97.8841,$97.8600
Mar 07 2023,$97.4416,$97.4400
Mar 06 2023,$98.0081,$98.0300
Mar 03 2023,$97.7282,$97.7300
Mar 02 2023,$96.2011,$96.1800
Mar 01 2023,$95.5091,$95.5000
Feb 28 2023,$96.1941,$96.2700
Feb 27 2023,$96.0635,$96.0600
Feb 24 2023,$95.9585,$95.9900
Feb 23 2023,$96.5438,$96.5300
Feb 22 2023,$96.1538,$96.1200
Feb 21 2023,$96.1397,$96.1200
Feb 17 2023,$97.6455,$97.6300
Feb 16 2023,$97.7570,$97.7800
Feb 15 2023,$98.6786,$98.6400
Feb 14 2023,$97.9346,$97.9400
Feb 13 2023,$97.9636,$97.9000
Feb 10 2023,$96.9042,$96.8800
Feb 09 2023,$97.5057,$97.4900
Feb 08 2023,$98.2489,$98.2900
Feb 07 2023,$99.0196,$99.0200
Feb 06 2023,$98.0540,$98.0000
Feb 03 2023,$98.3054,$98.3600
Feb 02 2023,$98.7216,$98.7000
Feb 01 2023,$97.1483,$97.0500
Jan 31 2023,$96.2081,$96.1600
Jan 30 2023,$95.4492,$95.4000
Jan 27 2023,$96.1087,$96.1000
Jan 26 2023,$95.9185,$95.9800
Jan 25 2023,$95.3502,$95.4100
Jan 24 2023,$95.1885,$95.2600
Jan 23 2023,$95.3501,$95.3600
Jan 20 2023,$94.2457,$94.2400
Jan 19 2023,$93.1108,$93.1100
Jan 18 2023,$94.0262,$94.0500
Jan 17 2023,$94.7857,$94.7400
Jan 16 2023,$95.1295,$94.9800
Jan 13 2023,$94.9740,$94.9600
Jan 12 2023,$94.3906,$94.4300
Jan 11 2023,$94.4999,$94.5000
Jan 10 2023,$93.2956,$93.2500
Jan 09 2023,$92.3770,$92.4100
Jan 06 2023,$92.8348,$92.8100
Jan 05 2023,$91.6890,$91.6600
Jan 04 2023,$92.0223,$92.2000
Jan 03 2023,$92.6351,$92.7600
Dec 30 2022,$92.1155,$92.1700
Dec 29 2022,$92.3836,$92.3900
Dec 28 2022,$91.5908,$91.6200
Dec 23 2022,$92.9797,$92.9400
Dec 22 2022,$92.7919,$92.7900
Dec 21 2022,$93.8564,$93.8100
Dec 20 2022,$92.5613,$92.5600
Dec 19 2022,$92.7556,$92.8000
Dec 16 2022,$93.8227,$93.9000
Dec 15 2022,$94.6983,$94.8600
Dec 14 2022,$96.3395,$96.4100
Dec 13 2022,$96.9675,$97.0100
Dec 12 2022,$96.7391,$96.6800
Dec 09 2022,$95.5289,$95.4800
Dec 08 2022,$95.7877,$95.7800
Dec 07 2022,$95.4965,$95.5300
Dec 06 2022,$95.7062,$95.7100
Dec 05 2022,$96.7151,$96.7300
Dec 02 2022,$97.5130,$97.5600
Dec 01 2022,$97.3965,$97.4200
Nov 30 2022,$97.5358,$97.5300
Nov 29 2022,$95.5637,$95.5900
Nov 28 2022,$95.1579,$95.1700
Nov 25 2022,$95.7246,$96.0700
Nov 24 2022,$95.5131,$96.0000
Nov 23 2022,$95.6243,$95.6000
Nov 22 2022,$95.1828,$95.2000
Nov 21 2022,$94.4801,$94.4800
Nov 18 2022,$94.3488,$94.3500
Nov 17 2022,$93.5028,$93.5000
Nov 16 2022,$93.7844,$93.7700
Nov 15 2022,$94.2039,$94.2000
Nov 14 2022,$93.6048,$93.5900
Nov 11 2022,$94.0225,$93.9800
Nov 10 2022,$93.5882,$93.6600
Nov 09 2022,$90.0979,$90.1000
Nov 08 2022,$91.3136,$91.3100
Nov 07 2022,$91.2285,$91.2100
Nov 04 2022,$90.2445,$90.2500
Nov 03 2022,$90.6887,$90.7400
Nov 02 2022,$91.4115,$91.4500
Nov 01 2022,$93.2771,$93.2800
Oct 31 2022,$93.6338,$93.6500
Oct 28 2022,$94.1574,$94.2000
Oct 27 2022,$91.6828,$91.6500
Oct 26 2022,$92.2002,$92.1400
Oct 25 2022,$93.1811,$93.1200
Oct 24 2022,$92.4286,$92.4200
Oct 21 2022,$90.8273,$90.8200
Oct 20 2022,$89.5549,$89.6000
Oct 19 2022,$90.2667,$90.2650
Oct 18 2022,$90.7505,$90.6250
Oct 17 2022,$89.5932,$89.5450
Oct 14 2022,$88.3510,$88.2450
Oct 13 2022,$89.5166,$89.5750
Oct 12 2022,$87.6738,$87.7600
Oct 11 2022,$87.8229,$87.8200
Oct 07 2022,$88.6709,$88.7350
Oct 06 2022,$91.3117,$91.2700
Oct 05 2022,$91.3506,$91.2300
Oct 04 2022,$90.8635,$90.7650
Oct 03 2022,$88.9277,$88.8750
Sep 30 2022,$87.8172,$87.8400
Sep 29 2022,$88.4109,$88.3950
Sep 28 2022,$89.8221,$89.8950
Sep 27 2022,$89.1709,$89.1000
Sep 26 2022,$89.4300,$89.4300
Sep 23 2022,$89.3977,$89.3100
Sep 22 2022,$90.1896,$90.3700
Sep 21 2022,$90.6775,$90.8350
Sep 20 2022,$91.7115,$91.6400
Sep 19 2022,$91.9859,$91.9800
Sep 16 2022,$91.4308,$91.5400
Sep 15 2022,$91.8776,$91.9400
Sep 14 2022,$92.4901,$92.4700
Sep 13 2022,$92.1216,$92.1500
Sep 12 2022,$95.0125,$94.9500
Sep 09 2022,$94.2401,$94.2850
Sep 08 2022,$93.3214,$93.2100
Sep 07 2022,$92.8502,$92.7800
Sep 06 2022,$91.4694,$91.4500
